time,student_id,phonecharge_duration_min
2013-03-24 09:47:00,1,467.0
2013-03-24 10:18:43,1,467.0
2013-03-24 10:30:03,1,467.0
2013-03-24 10:48:22,1,467.0
2013-03-27 04:37:21,1,467.0
2013-03-27 04:45:45,1,467.0
2013-03-28 23:53:09,1,486.0
2013-03-29 04:25:50,1,486.0
2013-03-29 19:45:25,1,582.0
2013-03-30 00:32:58,1,582.0
2013-03-30 05:48:53,1,582.0
2013-03-30 22:27:26,1,594.0
2013-03-31 04:19:23,1,594.0
2013-03-31 16:12:53,1,72.0
2013-03-31 18:49:27,1,437.0
2013-04-01 02:45:54,1,437.0
2013-04-01 08:09:16,1,437.0
2013-04-03 06:03:04,1,362.0
2013-04-03 06:31:05,1,362.0
2013-04-04 07:28:35,1,584.0
2013-04-05 05:02:59,1,584.0
2013-04-05 06:08:42,1,444.0
2013-04-06 01:26:41,1,444.0
2013-04-06 09:39:30,1,444.0
2013-04-07 21:21:54,1,444.0
2013-04-08 07:39:44,1,444.0
2013-04-08 20:57:23,1,108.0
2013-04-09 04:50:01,1,336.0
2013-04-10 02:59:22,1,336.0
2013-04-10 06:54:30,1,336.0
2013-04-10 22:33:15,1,416.0
2013-04-11 02:03:16,1,416.0
2013-04-11 05:42:29,1,416.0
2013-04-11 15:11:33,1,133.0
2013-04-12 02:44:19,1,416.0
2013-04-12 05:44:43,1,416.0
2013-04-13 15:58:12,1,67.0
2013-04-13 22:54:36,1,487.0
2013-04-14 23:14:15,1,487.0
2013-04-15 06:55:14,1,487.0
2013-04-16 01:52:24,1,425.0
2013-04-16 04:24:02,1,425.0
2013-04-17 00:01:40,1,425.0
2013-04-17 04:01:47,1,397.0
2013-04-17 07:06:59,1,397.0
2013-04-18 14:40:40,1,67.0
2013-04-19 00:32:42,1,284.0
2013-04-20 06:44:52,1,284.0
2013-04-20 21:40:24,1,284.0
2013-04-21 06:00:54,1,415.0
2013-04-22 05:28:34,1,485.0
2013-04-24 06:19:55,1,578.0
2013-04-26 06:17:36,1,450.0
2013-04-26 18:03:22,1,540.0
2013-04-27 04:56:04,1,540.0
2013-04-28 07:47:46,1,527.0
2013-04-28 19:34:02,1,527.0
2013-04-28 21:44:49,1,527.0
2013-04-29 05:50:08,1,527.0
2013-04-29 06:15:33,1,527.0
2013-04-30 05:58:15,1,80.0
2013-04-30 19:41:43,1,80.0
2013-04-30 21:02:39,1,133.0
2013-05-01 05:35:57,1,567.0
2013-05-02 06:02:32,1,410.0
2013-05-03 06:48:54,1,418.0
2013-05-04 05:12:41,1,445.0
2013-05-07 05:04:20,1,69.0
2013-05-07 21:36:20,1,69.0
2013-05-10 05:59:23,1,531.0
2013-05-13 07:03:00,1,585.0
2013-05-15 02:58:45,1,194.0
2013-05-15 06:12:56,1,461.0
2013-05-16 06:45:47,1,570.0
2013-05-18 06:37:10,1,486.0
2013-05-23 08:05:19,1,553.0
2013-05-26 07:51:19,1,495.0
2013-05-27 17:46:47,1,152.0
2013-05-27 20:19:36,1,100.0
2013-05-28 19:39:17,1,176.0
